,pdfbox,pdftotext,mupdf,pdfminer,slate3k
Rouge-1,0.9238,0.9486000000000001,0.9526,0.9212,0.8493999999999999
Rouge-2,0.9116,0.9128000000000001,0.9422,0.8798,0.7666000000000001
Rouge-l,0.9238,0.9436,0.9526,0.9186,0.8413999999999999
