,pdfbox,pdftotext,mupdf,pdfminer,slate3k
Rouge-1,0.944,0.929,0.933,0.933,0.844
Rouge-2,0.92,0.887,0.906,0.898,0.771
Rouge-l,0.944,0.929,0.933,0.933,0.842
